timestamp,cpu_percent,memory_percent,num_processes,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
2026-03-19T18:32:54.368149,1.3,34.5,64,931346432,626749440,85070521,153516366
2026-03-19T18:32:59.377669,1.3,34.5,64,931346432,626778112,85082080,153528206
2026-03-19T18:33:04.381568,9.8,35.5,67,931346432,627085312,85088361,153535123
2026-03-19T18:33:09.387866,2.5,34.5,64,931346432,627126272,85093374,153540136
2026-03-19T18:33:14.392560,1.3,34.5,64,931346432,627359744,85096721,153543483
2026-03-19T18:33:19.395857,1.1,34.5,64,931346432,627384320,85100029,153546791
2026-03-19T18:33:23.510695,1.3,34.5,64,931346432,627400704,85103589,153550351
2026-03-19T18:33:28.517951,1.3,34.5,64,931346432,627433472,85111882,153560241
2026-03-19T18:33:33.527670,1.3,34.6,64,931346432,627449856,85116140,153564499
2026-03-19T18:33:38.534856,0.8,34.6,64,931346432,627466240,85119571,153567930
2026-03-19T18:33:43.549049,1.0,34.6,64,931346432,627482624,85123160,153571519
2026-03-19T18:33:48.562496,1.3,34.6,64,931346432,627499008,85126749,153575108
2026-03-19T18:33:53.573172,1.2,34.5,64,931346432,627539968,85133426,153579111
2026-03-19T18:33:57.565447,1.4,34.6,64,931346432,627621888,85137279,153582964
2026-03-19T18:34:02.572135,9.6,35.4,67,931346432,627785728,85149962,153596481
2026-03-19T18:34:07.576578,1.6,34.6,64,931346432,628039680,85154436,153601649
2026-03-19T18:34:12.585183,0.9,34.5,64,931346432,628113408,85158025,153605238
2026-03-19T18:34:17.592241,1.1,34.5,64,931346432,628137984,85164519,153609058
2026-03-19T18:34:22.597867,1.0,34.6,64,931346432,628162560,85173748,153612944
2026-03-19T18:34:26.600531,1.2,34.6,64,931346432,628178944,85183118,153616966
2026-03-19T18:34:31.604962,1.3,34.6,64,931346432,628269056,85198536,153629020
2026-03-19T18:34:36.609111,1.0,34.6,64,931346432,628310016,85205526,153633320
2026-03-19T18:34:41.628251,0.7,34.6,64,931346432,628334592,85209115,153636909
2026-03-19T18:34:46.632615,1.2,34.6,64,931346432,628359168,85212704,153640498
2026-03-19T18:34:51.638666,1.3,34.6,64,931346432,628383744,85223521,153652997
2026-03-19T18:34:56.648038,1.2,34.6,64,931346432,628408320,85227029,153656505
2026-03-19T18:35:00.657469,1.1,34.6,64,931346432,628494336,85230589,153660489
2026-03-19T18:35:05.671757,9.8,34.6,64,931346432,628813824,85237976,153668300
2026-03-19T18:35:10.676188,1.0,34.6,64,931346432,628883456,85241390,153671714
2026-03-19T18:35:15.684028,1.2,34.6,64,931346432,628899840,85244856,153675180
2026-03-19T18:35:20.697674,1.1,34.6,64,931346432,628916224,85248322,153678646
2026-03-19T18:35:25.704398,1.1,34.6,64,931346432,628932608,85251788,153682112
2026-03-19T18:35:29.675403,1.1,34.6,64,931346432,628948992,85255344,153685668
2026-03-19T18:35:34.685885,1.3,34.6,64,931346432,628981760,85259562,153689886
2026-03-19T18:35:39.689769,1.3,34.6,64,931346432,629157888,85266834,153699279
2026-03-19T18:35:44.698774,0.5,34.6,64,931346432,629174272,85270248,153702693
2026-03-19T18:35:49.707311,1.2,34.6,64,931346432,629202944,85273714,153706159
2026-03-19T18:35:54.715056,1.4,34.6,64,931346432,629227520,85281003,153710775
2026-03-19T18:35:58.670201,1.5,34.5,64,931346432,629661696,85287727,153714826
2026-03-19T18:36:03.674012,8.9,35.4,67,931346432,637329408,85294399,153721498
2026-03-19T18:36:08.678961,1.6,34.5,64,931346432,637394944,85305274,153733921
2026-03-19T18:36:13.683947,0.8,34.6,64,931346432,637435904,85308905,153737552
